Track,Artist,Listeners,URL
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,1453712,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
tv off (feat. Lefty Gunplay),Kendrick Lamar,965984,https://www.last.fm/music/Kendrick+Lamar/_/tv+off+(feat.+Lefty+Gunplay)
Fade Into You,Mazzy Star,1731266,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
I Wanna Be Yours,Arctic Monkeys,2168623,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours
365,Charli XCX,1042234,https://www.last.fm/music/Charli+XCX/_/365
Chop Suey!,System of a Down,2693330,https://www.last.fm/music/System+of+a+Down/_/Chop+Suey%21
Casual,Chappell Roan,1024291,https://www.last.fm/music/Chappell+Roan/_/Casual
Glimpse of Us,Joji,1212086,https://www.last.fm/music/Joji/_/Glimpse+of+Us
DENIAL IS A RIVER,Doechii,1032547,https://www.last.fm/music/Doechii/_/DENIAL+IS+A+RIVER
Pain,pinkpantheress,1496304,https://www.last.fm/music/pinkpantheress/_/Pain
Come as You Are,Nirvana,3232761,https://www.last.fm/music/Nirvana/_/Come+as+You+Are
Apocalypse,Cigarettes After Sex,1679859,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse
Bad Romance,Lady Gaga,2566698,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance
My Love Mine All Mine,Mitski,1674151,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine
"Lover, You Should've Come Over",Jeff Buckley,1152754,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
In the End,Linkin Park,2697138,https://www.last.fm/music/Linkin+Park/_/In+the+End
Everybody Wants to Rule the World,Tears for Fears,2329566,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World
Still into You,Paramore,1592630,https://www.last.fm/music/Paramore/_/Still+into+You
Tonight,Jin,145384,https://www.last.fm/music/Jin/_/Tonight
Mr. Brightside,The Killers,3417039,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Man of the Year,ScHoolboy Q,470525,https://www.last.fm/music/ScHoolboy+Q/_/Man+of+the+Year
Promiscuous,Nelly Furtado,1922987,https://www.last.fm/music/Nelly+Furtado/_/Promiscuous
revolving door,Tate McRae,440411,https://www.last.fm/music/Tate+McRae/_/revolving+door
Every Breath You Take,The Police,2255235,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
Dark Red,Steve Lacy,1785391,https://www.last.fm/music/Steve+Lacy/_/Dark+Red
Karma Police,Radiohead,2806868,https://www.last.fm/music/Radiohead/_/Karma+Police
Ivy,Frank Ocean,1586668,https://www.last.fm/music/Frank+Ocean/_/Ivy
Do I Wanna Know?,Arctic Monkeys,2496158,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F
Jigsaw Falling Into Place,Radiohead,1896607,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place
Paparazzi,Lady Gaga,2292642,https://www.last.fm/music/Lady+Gaga/_/Paparazzi
Earfquake,"Tyler, the Creator",1779158,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake"
Nokia,Drake,487483,https://www.last.fm/music/Drake/_/Nokia
Why'd You Only Call Me When You're High?,Arctic Monkeys,2284158,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F
Fake Plastic Trees,Radiohead,1970963,https://www.last.fm/music/Radiohead/_/Fake+Plastic+Trees
Cigarettes out the Window,TV Girl,1285098,https://www.last.fm/music/TV+Girl/_/Cigarettes+out+the+Window
Flashing Lights,Kanye West,1815248,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
B2b,Charli XCX,835699,https://www.last.fm/music/Charli+XCX/_/B2b
