Track,Artist,Listeners,URL,release_date
Money Trees,Kendrick Lamar,1797208,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees,2023-01-01
Just Dance,Lady Gaga,2419298,https://www.last.fm/music/Lady+Gaga/_/Just+Dance,2023-01-01
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,1266954,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster,2023-01-01
Headphones On,Addison Rae,362108,https://www.last.fm/music/Addison+Rae/_/Headphones+On,2023-01-01
Sailor Song,Gigi Perez,894770,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song,2023-01-01
Red Wine Supernova,Chappell Roan,1083379,https://www.last.fm/music/Chappell+Roan/_/Red+Wine+Supernova,2023-01-01
Linger,The Cranberries,2017359,https://www.last.fm/music/The+Cranberries/_/Linger,2023-01-01
like JENNIE,Jennie,460844,https://www.last.fm/music/Jennie/_/like+JENNIE,2023-01-01
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,1453712,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster,2023-01-01
tv off (feat. Lefty Gunplay),Kendrick Lamar,965984,https://www.last.fm/music/Kendrick+Lamar/_/tv+off+(feat.+Lefty+Gunplay),2023-01-01
Fade Into You,Mazzy Star,1731266,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You,2023-01-01
I Wanna Be Yours,Arctic Monkeys,2168623,https://www.last.fm/music/Arctic+Monkeys/_/I+Wanna+Be+Yours,2023-01-01
365,Charli XCX,1042234,https://www.last.fm/music/Charli+XCX/_/365,2023-01-01
Chop Suey!,System of a Down,2693330,https://www.last.fm/music/System+of+a+Down/_/Chop+Suey%21,2023-01-01
Casual,Chappell Roan,1024291,https://www.last.fm/music/Chappell+Roan/_/Casual,2023-01-01
Glimpse of Us,Joji,1212086,https://www.last.fm/music/Joji/_/Glimpse+of+Us,2023-01-01
DENIAL IS A RIVER,Doechii,1032547,https://www.last.fm/music/Doechii/_/DENIAL+IS+A+RIVER,2023-01-01
Pain,pinkpantheress,1496304,https://www.last.fm/music/pinkpantheress/_/Pain,2023-01-01
Come as You Are,Nirvana,3232761,https://www.last.fm/music/Nirvana/_/Come+as+You+Are,2023-01-01
Apocalypse,Cigarettes After Sex,1679859,https://www.last.fm/music/Cigarettes+After+Sex/_/Apocalypse,2023-01-01
Bad Romance,Lady Gaga,2566698,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance,2023-01-01
My Love Mine All Mine,Mitski,1674151,https://www.last.fm/music/Mitski/_/My+Love+Mine+All+Mine,2023-01-01
"Lover, You Should've Come Over",Jeff Buckley,1152754,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over",2023-01-01
In the End,Linkin Park,2697138,https://www.last.fm/music/Linkin+Park/_/In+the+End,2023-01-01
Everybody Wants to Rule the World,Tears for Fears,2329566,https://www.last.fm/music/Tears+for+Fears/_/Everybody+Wants+to+Rule+the+World,2023-01-01
Still into You,Paramore,1592630,https://www.last.fm/music/Paramore/_/Still+into+You,2023-01-01
Tonight,Jin,145384,https://www.last.fm/music/Jin/_/Tonight,2023-01-01
Man of the Year,ScHoolboy Q,470525,https://www.last.fm/music/ScHoolboy+Q/_/Man+of+the+Year,2023-01-01
Promiscuous,Nelly Furtado,1922987,https://www.last.fm/music/Nelly+Furtado/_/Promiscuous,2023-01-01
revolving door,Tate McRae,440411,https://www.last.fm/music/Tate+McRae/_/revolving+door,2023-01-01
Every Breath You Take,The Police,2255235,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take,2023-01-01
Dark Red,Steve Lacy,1785391,https://www.last.fm/music/Steve+Lacy/_/Dark+Red,2023-01-01
Karma Police,Radiohead,2806868,https://www.last.fm/music/Radiohead/_/Karma+Police,2023-01-01
Ivy,Frank Ocean,1586668,https://www.last.fm/music/Frank+Ocean/_/Ivy,2023-01-01
Do I Wanna Know?,Arctic Monkeys,2496158,https://www.last.fm/music/Arctic+Monkeys/_/Do+I+Wanna+Know%3F,2023-01-01
Jigsaw Falling Into Place,Radiohead,1896607,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place,2023-01-01
Paparazzi,Lady Gaga,2292642,https://www.last.fm/music/Lady+Gaga/_/Paparazzi,2023-01-01
Earfquake,"Tyler, the Creator",1779158,"https://www.last.fm/music/Tyler,+the+Creator/_/Earfquake",2023-01-01
Nokia,Drake,487483,https://www.last.fm/music/Drake/_/Nokia,2023-01-01
Why'd You Only Call Me When You're High?,Arctic Monkeys,2284158,https://www.last.fm/music/Arctic+Monkeys/_/Why%27d+You+Only+Call+Me+When+You%27re+High%3F,2023-01-01
Fake Plastic Trees,Radiohead,1970963,https://www.last.fm/music/Radiohead/_/Fake+Plastic+Trees,2023-01-01
Cigarettes out the Window,TV Girl,1285098,https://www.last.fm/music/TV+Girl/_/Cigarettes+out+the+Window,2023-01-01
Flashing Lights,Kanye West,1815248,https://www.last.fm/music/Kanye+West/_/Flashing+Lights,2023-01-01
B2b,Charli XCX,835699,https://www.last.fm/music/Charli+XCX/_/B2b,2023-01-01
